leader,follower,n_quarters,r,p,same_sector,mean_gap
ADBE,PG,11,0.26770055332399567,0.4261169268969957,False,7.454545454545454
UNH,MRK,8,0.266259040379347,0.5238576428147014,True,9.75
CRM,WFC,10,0.26582768366846676,0.4578802316060177,False,8.6
AAPL,META,11,0.2657056117108244,0.429704438435947,True,9.363636363636363
V,CRM,8,0.26559821396502714,0.5249276425122995,False,7.25
INTC,META,14,0.2653708433380962,0.3591708358528143,True,9.0
DAL,AXP,13,0.264903857851276,0.3817561573606283,False,7.230769230769231
BLK,AAPL,9,0.26468820692737566,0.49127873735148503,False,7.666666666666667
AAPL,TMO,9,0.2646496887152932,0.49134417770315436,False,9.333333333333334
UAL,DAL,7,0.2639961132585779,0.5672791268465772,True,8.857142857142858
PG,GS,9,0.26262600739191455,0.49478733707115713,False,11.0
MS,AVGO,10,0.2626213630859566,0.463525215700089,False,10.5
PANW,PG,11,0.2615180131465185,0.437281613324783,False,8.0
CAT,NVDA,8,0.26032857259582737,0.5334889508079477,False,5.5
JPM,PG,12,0.2599493420658213,0.4145244722159285,False,8.0
V,MSFT,10,0.2598056176087181,0.46850790142631255,False,9.5
AMD,HD,9,0.25952260828785306,0.500086662790543,False,4.333333333333333
PEP,ABBV,7,0.2592735403368733,0.5744874397913923,False,7.571428571428571
TSLA,AVGO,7,0.2592715017170642,0.5744905576209446,False,6.428571428571429
ADBE,AAPL,9,0.25921457333091436,0.5006139139672009,True,7.555555555555555
C,MS,7,0.2564806400074606,0.5787638065042896,True,5.857142857142857
V,JNJ,13,0.255443455540238,0.3996087913863305,False,7.846153846153846
C,CAT,15,0.2531961536459212,0.36255132129046996,False,11.2
AMZN,AVGO,11,0.2529974414188188,0.45289161759927077,False,6.2727272727272725
NVDA,PEP,7,0.25079155584642865,0.5875050383311772,False,12.428571428571429
UAL,ISRG,11,0.2499366043871999,0.4585614162364808,False,8.909090909090908
ISRG,UNH,9,0.2497854131827841,0.516861621261927,True,7.555555555555555
TSLA,CRM,11,0.2497718573260513,0.45886751200285725,False,4.181818181818182
C,HD,7,0.2494931776241662,0.5895056252369867,False,8.285714285714286
INTC,TMO,11,0.24814786574007053,0.4618898726623568,False,8.272727272727273
MA,UNH,9,0.24786645185331574,0.5201936004263056,False,8.0
TMO,MRK,7,0.24589093667706982,0.5950669146755946,True,11.142857142857142
NOW,CAT,12,0.24570326484745295,0.4414414999437887,False,11.5
AXP,NOW,9,0.2455231182436548,0.5242738956650791,False,7.333333333333333
AVGO,GS,13,0.24418547911644733,0.421400544025953,False,6.461538461538462
MS,JPM,10,0.24384589134127832,0.4971887422958736,True,7.5
ADBE,BLK,14,0.2436775751836249,0.4011796684498645,False,5.214285714285714
JNJ,CAT,15,0.24265699538394309,0.3835327652545238,False,8.133333333333333
BLK,V,9,0.24141634027091646,0.5314548774992347,True,9.555555555555555
NOW,AVGO,9,0.24133286372923435,0.5316012367354056,True,6.222222222222222
AVGO,V,9,0.24099215390157966,0.5321987648211446,False,9.11111111111111
C,JNJ,12,0.24085315236250546,0.4507927224463617,False,7.5
V,UNH,9,0.2406713644381781,0.5327615951848299,False,8.0
HD,AAPL,11,0.23957840801291627,0.47798795541187483,False,8.363636363636363
PANW,ISRG,14,0.23901281059209586,0.41053382842099917,False,7.5
NVDA,MA,9,0.2388130078104687,0.536026643195796,False,8.444444444444445
BA,COST,11,0.23865341093078193,0.4797404991232551,False,9.909090909090908
AVGO,JNJ,13,0.23693452916682714,0.435744529910048,False,7.3076923076923075
